ID,Author,Comment
66,@ml2082,esa es una verdadera fiscal
67,@totuskhanlife3934,y ahora parece que no puede estar preso porque tiene problemas de salud ya sabíamos todos que iban a aparecer los temas de salud y en el peor de los casos una cárcel vip
68,@jorgedaluz5387,desgraciadamente no es el únicodentro del partido nacional hay varios como ésteel gran problema que tenemos en uruguay es el periodismo que no investiga nada lanata quiso en su momento hacerlo y lo corrieron
69,@albanieves3348,el senador y el profesor a los tiburones ellos sí harán justicia
70,@anamariaataycuenca8999,la justicia trabajo muy bien es un tema personal que está persona abuso de su poder político
71,@juliomoreira5218,que lindo país tenemos
72,@casafardo,porque no pusieron esa fiscal para el caso astesiano
73,@marcelonunez8666,techera que nunca nos falte
74,@sinnombre9368,usar el poder político para acomodar defender y privilegiar a su gente afínblancos siendo blancos
75,@fernandoreinoso1986,lacalle y heber intocables
76,@jorgepintos4304,los  mejores años presidente adicto ministro alcoholico encubridor senador violador argimon con cuidate sos jóven bianchi marcando periodistas es ése
77,@elnacho3174,hay que hacer pancartas y volantes con la lista de delitos de penades si resulta condenado para la campaña de
78,@ramonberrey2150,una joyita
79,@albanieves3348,muy fuerte la corrupción hasta la policíaya no se puede confiar en nadie si fueran sus hijos o hijas
80,@Veronica-qr4xt,gracias zintv grandes siempre
81,@javierperezperez8646,minutos dura el informe cada vez menos z no podés negar que sos uruguayo el mínimo esfuerzo
82,@fernandoibanez8719,este gobierno está hasta las manos de corrupción
83,@apolo1881,zin tv haciendose el caldo gordo con penades sartori y astesiano pero jamás los vi haciendo un videíto de gerardo nuñez cendoya ni siquiera de sendic se ve que miran las cosas cuando les conviene yo me pregunto eso no es incitación de odio tambien porque el que no es perteneciente la fa jamás va a votar al fa por ver éstos videitos al contrario
84,@mma1955,lo van a soltar en un rato pero me parece lo más justo si cometió un delito q pague como cualquier ciudadano
85,@charliepasos7676,los caballeros de la cama redonda impecable zintv
86,@pendondato,esperaba con ansias a zintv
87,@aguarzaguet.gestaltcoach,sería un mal amigo si no le creo by luish
88,@pabloandrescastroportillo8117,como disfruto este video gracias gracias zin tv x todo lo que nos das
89,@martasanchez5877,que vergüenza el presidente y el ministro del interior hacer declaraciones de ese tipodeberian guardar silencio
90,@josefinafuentes8408,grande carlos techera excelente trabajo
91,@nataliasilvera2994,que dios se apiade de el
92,@NachoJoker,todos los que lo apoyaron deberían ir presos
93,@amaliag.delpuerto4673,qué vergüenza
94,@Maria-ft9uz,después piden confiar en la policía
95,@user-oi5ui1tp5i,el alcanse del mal no tiene fin es inreparable no lo paga ni con carcel ni plata el daño es para toda la vida pero bueno asi estamos ya queda menos pueblo porfavor no le echen la culpa al frente o al antel arena cada semana es peor ya no se sabe que va pasar y la inseguridad es brutal
96,@jorgeacosta4315,tienen que embargarle todo al violador y dárselo a las víctimas
97,@susanabalbuena7870,se probó ante la justiicccciiiiiaaaapreso yaaaaaauna mancha xra los multifrutas
98,@leidyperrone5085,pero esa preventiva es para seguir investigando xq se supone q luego se los procesos con prisión
99,@mariasilveira6509,por fin justicia ojo ahora no se les escape jjje o lo suelten por supuesta enfermedad jjje
100,@rodrigocardozo6423,cada ves que usan la misma receta de dar una conferencia al otro día es cuestión de esperar y terminan en cana bueno preso no terminan porque no hay una fuerza política que los descrimine por violador o ladrones en todos los micrófonos
101,@user-qu6ys3dx3z,lo que da miedo y verguenza ajena son las declaraciones del sr presidente es un amigocomo es el dicho dime con quien andas y te dire quien eres todos corruptos de la misma calaña
102,@teresacasana4738,detirenlos para rl conmcar para que se diviertan los presos asi cienten el terror que sintieron las victimas
