ID,Author,Comment
63,@ilianaiglesias8931,VERGONZOSO todos los delitos y peor aún el respaldo del Min .del Interior dentro del Parlamento y del mismísimo Presidente.LO APAÑÓ LA MÁXIMA INSTITUCIONALIDAD DE UN PAÍS.
64,@J.L.Torrente,La ley de  hermandad que existe para mantener el poder es absolutamente repudiable
65,@gemaborche9580,En un país normal todo el gobierno debería renunciar y muchos de ellos directo al Comcar.
66,@Marcelo-garcia2011,"Increíble, sólo en este país suceden estas cosas. Es todo muy grave y sin embargo todos seguimos callados...hasta cuándo?  (dijera nuestro amigo)"
67,@blancaroda1618,La prisión preventiva esta bien ..aun falta el juicio oral que puede durar un largo tiempo!!destaco la actualización de la fiscal que no dejó nada al azar y le ató las manos a los amigos del senador que planeaban una trama de mentiras y amenazas contra las victimas
68,@jorgegallo6460,"En un pais normal el ministro hace rato que habia volado. Pero nosotros como pais, de normal, cada vez tenemos menos."
69,@gustavollanes3528,"La justicia, exsiste, el fiscal incorruptible "
70,@nestorbustamante3461,Felicitaciones a esa valiente fiscal q laburo muchas horas y no cedió a las tremendas presiones del poder Todo era defender al AMIGO q los miraba a los ojos y hacia conferencia prensa en el parlamento.... ambos deben terminar PRESOS PRESOOOOS
71,@lauraramilo4568,Cero vergüenza; corruptos hasta las manos. Felicitaciones a la gente de Galeano que le dio voz a Papaso.
72,@ReinosaDario,Es un alivio.  Ya estábamos en el límite de la credibilidad en la justicia.  Quedan jueces y fiscales honestos y valientes.  Creí que se habían extinguido.
73,@MrsMicro84,Madrugó el señor Z! Me da cierto reconfort y sensación de justicia que el delincuente de Penades vaya preso
74,@gustavomolinamendez2212,Mira que lo hacen trabajar al Sr. Zeta. No le dan descanso.
75,@elrincondelderecho,"El Presidente de la República y el ministro del Interior no están a la altura de la circunstancia, representan al Estado, no a sus amigos."
76,@carlosalvarez7754,"Gracias zintv por refrescar la memoria reciente , que los medios nos tratan de borrar permanentemente."
77,@irmavazquez6035,la verdad que había perdido la fe en la justicia  pero esta fiscal tuvo ovarios para seguir contra todos
78,@user-ml6mo1df8k,Lo únicos que alguna vez tuvieron dudas de la veracidad de las denuncias fueron los “amigos” que peculiar….
79,@richardnoble6904,FELICITACIONES A TODAS LAS PERSONAS QUE ESTAN HACIENDO BIEN SU TRABAJO A PESAR DE LAS PRESIONES DEL GOBIERNO!!!
80,@mojo8656,"Pobre Luisito, otro amigo que resulta ser tremendo bandido"
81,@gabrielalcantaro91,"Lo que tendría que seguir es que el presidente le pida la renuncia a Heber, sería lo más lógico en un gobierno serio. Bueno, en un gobierno serio"
82,@silvitaladas5951,"Hasta Lacalle Pou debería ir preso  por defender antes de la causa,ni q hablar Heber no?!..  pero claro....en Florida así la pasan bomba!!! Junto con Atesiano...de fiesta en fiesta....felicito a la fiscal Ghione!! Si fossati hubiera tenido un cachito de ética y profesionalidad como está fiscal otro gallo hubiera cantado."
83,@gabrielvigo8955,Era hora que por lo menos uno este preso tendrían que acompañarlo unos cuantos mas
84,@Beltrame72,Sin palabras Eso que dice Lacalle de “a quien le tengo que creer?” Es lamentable  Es triste que se lo dejen pasar gratuitamente en otros medios  Quien le pidió que tiene que creerle a alguien? Es tan ignorante o tan cínico?
85,@p.s.a.,"Prisión ,como cualquier hijo de vecino,así tendría que ser ! JUSTICIA"
86,@judiacosta7948,Pobre Luis se ha quedado sin esposa sin ministros sin jefe de seguridad y ahora amigo de treinta años . Barajar y dar de nuevo .
87,@juancarlosducanbarbosa4705,"En toda actividad lo que diferencia a unos de otros es la ética,  la profesionalidad y la voluntad de hacer bien su trabajo sea cual sea, esta fiscal y su equipo es un ejemplo, muuyy distinto del ridículo que hizo la Fossati en el caso Astesiano"
88,@raysoto2188,Che y los que salieron públicamente a desmentir todo esto. Tienen que ser juzgados!!!
89,@Maria-ft9uz,"Escuchando de policías , jefes involucrados, pregunto , qué pasó con el adolescente de 17 años muerto a balazos que era otro de los acusadores o testigos, quién lo mató?"
90,@SandraSanchez-gw9sd,Me quedo tranquila no todos los fiscales son corruptos y actúan con la impunidad que lo hizo Fossati
91,@MrOrsiw,"La LUC que el votó dice que los delitos sexuales se pagan con cárcel. Pero como hemos visto en todo el proceso es protegido por ministros y el propio Presidente, así que capaz que por la presión o el sobre peso no va a prisión,  terrible el delincuente!!!"
92,@walternunez9293,"En razón de la fuga de traficantes alegando temas de salud.el ministro dijo y recalco que el sistema carcelario tiene medios para que se puedan atender. Supongo que la juega tendrá esto en consideración para no darle tobilleras a penades, además está mente en la calle es capas de ultimar a las víctimas el solo echo de estar libre originaria más problemas xicoemosionales a las bictimas.( cárcel efectiva es lo que corresponde)"
93,@verlalos,Es increíble la muy baja autocrítica y de aprendizaje que tienen las autoridades actuales de este país. No llama la atención ahora la no resolución del caso de la violación en la fiesta y otras cosas
94,@ozurumi,Cuando van a entender que los 180 dias es de prisión preventiva mientras se procesa el caso. Buen video Z
95,@p.s.a.,"Está, metido desde Heber y el director del comcar ,esto ya rebasa los límites!!"
96,@silvianobel5013,"Me preocupa más, que los amigos no lo dejen solos. Porque "" los amigos son los amigos"""
97,@albertotechera8983,Este gobierno tiene el delito qué se puedan imaginar....muy completos y cómo siempre derramando intelecto... gracias a los que los votaron...son responsables también...
98,@nairbarrios5967,Vergüenza por parte de los políticos. !!!
99,@esperanzaandrade5104,"Si son amigos de la.vida ,como dicen, deben saber bien en que andaba ' el amigo"" hay cosas que no se pueden icultar durante tanto tiempo"
100,@federicobarboza3632,Juicio político al presidente ya!
101,@J.L.Torrente,Mi reconocimiento a Richard Galeano y equipo De HLQP por darle voz y  públicamente que denuncie la  víctima que destapó  la olla
102,@gonzalomauttones5093,"Lamentable que un Político use el Poder para cometer estos delitos aberrantes, y también Lamentable que el Presidente del país y parte del gobierno salgan apoyar a Penades. Y esta gente está cargo de un país y nos gobierna y decide sobre nosotros"
103,@ilianaiglesias8931,VERGONZOSO todos los delitos y peor aún el respaldo del Min .del Interior dentro del Parlamento y del mismísimo Presidente.LO APAÑÓ LA MÁXIMA INSTITUCIONALIDAD DE UN PAÍS.
104,@J.L.Torrente,La ley de  hermandad que existe para mantener el poder es absolutamente repudiable
105,@gemaborche9580,En un país normal todo el gobierno debería renunciar y muchos de ellos directo al Comcar.
106,@Marcelo-garcia2011,"Increíble, sólo en este país suceden estas cosas. Es todo muy grave y sin embargo todos seguimos callados...hasta cuándo?  (dijera nuestro amigo)"
107,@blancaroda1618,La prisión preventiva esta bien ..aun falta el juicio oral que puede durar un largo tiempo!!destaco la actualización de la fiscal que no dejó nada al azar y le ató las manos a los amigos del senador que planeaban una trama de mentiras y amenazas contra las victimas
108,@jorgegallo6460,"En un pais normal el ministro hace rato que habia volado. Pero nosotros como pais, de normal, cada vez tenemos menos."
109,@gustavollanes3528,"La justicia, exsiste, el fiscal incorruptible "
110,@nestorbustamante3461,Felicitaciones a esa valiente fiscal q laburo muchas horas y no cedió a las tremendas presiones del poder Todo era defender al AMIGO q los miraba a los ojos y hacia conferencia prensa en el parlamento.... ambos deben terminar PRESOS PRESOOOOS
111,@lauraramilo4568,Cero vergüenza; corruptos hasta las manos. Felicitaciones a la gente de Galeano que le dio voz a Papaso.
112,@ReinosaDario,Es un alivio.  Ya estábamos en el límite de la credibilidad en la justicia.  Quedan jueces y fiscales honestos y valientes.  Creí que se habían extinguido.
113,@MrsMicro84,Madrugó el señor Z! Me da cierto reconfort y sensación de justicia que el delincuente de Penades vaya preso
114,@gustavomolinamendez2212,Mira que lo hacen trabajar al Sr. Zeta. No le dan descanso.
115,@elrincondelderecho,"El Presidente de la República y el ministro del Interior no están a la altura de la circunstancia, representan al Estado, no a sus amigos."
116,@carlosalvarez7754,"Gracias zintv por refrescar la memoria reciente , que los medios nos tratan de borrar permanentemente."
117,@irmavazquez6035,la verdad que había perdido la fe en la justicia  pero esta fiscal tuvo ovarios para seguir contra todos
118,@user-ml6mo1df8k,Lo únicos que alguna vez tuvieron dudas de la veracidad de las denuncias fueron los “amigos” que peculiar….
119,@richardnoble6904,FELICITACIONES A TODAS LAS PERSONAS QUE ESTAN HACIENDO BIEN SU TRABAJO A PESAR DE LAS PRESIONES DEL GOBIERNO!!!
120,@mojo8656,"Pobre Luisito, otro amigo que resulta ser tremendo bandido"
121,@gabrielalcantaro91,"Lo que tendría que seguir es que el presidente le pida la renuncia a Heber, sería lo más lógico en un gobierno serio. Bueno, en un gobierno serio"
122,@silvitaladas5951,"Hasta Lacalle Pou debería ir preso  por defender antes de la causa,ni q hablar Heber no?!..  pero claro....en Florida así la pasan bomba!!! Junto con Atesiano...de fiesta en fiesta....felicito a la fiscal Ghione!! Si fossati hubiera tenido un cachito de ética y profesionalidad como está fiscal otro gallo hubiera cantado."
123,@gabrielvigo8955,Era hora que por lo menos uno este preso tendrían que acompañarlo unos cuantos mas
124,@Beltrame72,Sin palabras Eso que dice Lacalle de “a quien le tengo que creer?” Es lamentable  Es triste que se lo dejen pasar gratuitamente en otros medios  Quien le pidió que tiene que creerle a alguien? Es tan ignorante o tan cínico?
125,@p.s.a.,"Prisión ,como cualquier hijo de vecino,así tendría que ser ! JUSTICIA"
126,@judiacosta7948,Pobre Luis se ha quedado sin esposa sin ministros sin jefe de seguridad y ahora amigo de treinta años . Barajar y dar de nuevo .
127,@juancarlosducanbarbosa4705,"En toda actividad lo que diferencia a unos de otros es la ética,  la profesionalidad y la voluntad de hacer bien su trabajo sea cual sea, esta fiscal y su equipo es un ejemplo, muuyy distinto del ridículo que hizo la Fossati en el caso Astesiano"
128,@raysoto2188,Che y los que salieron públicamente a desmentir todo esto. Tienen que ser juzgados!!!
129,@Maria-ft9uz,"Escuchando de policías , jefes involucrados, pregunto , qué pasó con el adolescente de 17 años muerto a balazos que era otro de los acusadores o testigos, quién lo mató?"
130,@SandraSanchez-gw9sd,Me quedo tranquila no todos los fiscales son corruptos y actúan con la impunidad que lo hizo Fossati
131,@MrOrsiw,"La LUC que el votó dice que los delitos sexuales se pagan con cárcel. Pero como hemos visto en todo el proceso es protegido por ministros y el propio Presidente, así que capaz que por la presión o el sobre peso no va a prisión,  terrible el delincuente!!!"
132,@walternunez9293,"En razón de la fuga de traficantes alegando temas de salud.el ministro dijo y recalco que el sistema carcelario tiene medios para que se puedan atender. Supongo que la juega tendrá esto en consideración para no darle tobilleras a penades, además está mente en la calle es capas de ultimar a las víctimas el solo echo de estar libre originaria más problemas xicoemosionales a las bictimas.( cárcel efectiva es lo que corresponde)"
133,@verlalos,Es increíble la muy baja autocrítica y de aprendizaje que tienen las autoridades actuales de este país. No llama la atención ahora la no resolución del caso de la violación en la fiesta y otras cosas
134,@ozurumi,Cuando van a entender que los 180 dias es de prisión preventiva mientras se procesa el caso. Buen video Z
135,@p.s.a.,"Está, metido desde Heber y el director del comcar ,esto ya rebasa los límites!!"
136,@silvianobel5013,"Me preocupa más, que los amigos no lo dejen solos. Porque "" los amigos son los amigos"""
137,@albertotechera8983,Este gobierno tiene el delito qué se puedan imaginar....muy completos y cómo siempre derramando intelecto... gracias a los que los votaron...son responsables también...
138,@nairbarrios5967,Vergüenza por parte de los políticos. !!!
139,@esperanzaandrade5104,"Si son amigos de la.vida ,como dicen, deben saber bien en que andaba ' el amigo"" hay cosas que no se pueden icultar durante tanto tiempo"
140,@federicobarboza3632,Juicio político al presidente ya!
141,@J.L.Torrente,Mi reconocimiento a Richard Galeano y equipo De HLQP por darle voz y  públicamente que denuncie la  víctima que destapó  la olla
142,@gonzalomauttones5093,"Lamentable que un Político use el Poder para cometer estos delitos aberrantes, y también Lamentable que el Presidente del país y parte del gobierno salgan apoyar a Penades. Y esta gente está cargo de un país y nos gobierna y decide sobre nosotros"
143,@ilianaiglesias8931,VERGONZOSO todos los delitos y peor aún el respaldo del Min .del Interior dentro del Parlamento y del mismísimo Presidente.LO APAÑÓ LA MÁXIMA INSTITUCIONALIDAD DE UN PAÍS.
144,@J.L.Torrente,La ley de  hermandad que existe para mantener el poder es absolutamente repudiable
145,@gemaborche9580,En un país normal todo el gobierno debería renunciar y muchos de ellos directo al Comcar.
146,@Marcelo-garcia2011,"Increíble, sólo en este país suceden estas cosas. Es todo muy grave y sin embargo todos seguimos callados...hasta cuándo?  (dijera nuestro amigo)"
147,@blancaroda1618,La prisión preventiva esta bien ..aun falta el juicio oral que puede durar un largo tiempo!!destaco la actualización de la fiscal que no dejó nada al azar y le ató las manos a los amigos del senador que planeaban una trama de mentiras y amenazas contra las victimas
148,@jorgegallo6460,"En un pais normal el ministro hace rato que habia volado. Pero nosotros como pais, de normal, cada vez tenemos menos."
149,@gustavollanes3528,"La justicia, exsiste, el fiscal incorruptible "
150,@nestorbustamante3461,Felicitaciones a esa valiente fiscal q laburo muchas horas y no cedió a las tremendas presiones del poder Todo era defender al AMIGO q los miraba a los ojos y hacia conferencia prensa en el parlamento.... ambos deben terminar PRESOS PRESOOOOS
151,@lauraramilo4568,Cero vergüenza; corruptos hasta las manos. Felicitaciones a la gente de Galeano que le dio voz a Papaso.
152,@ReinosaDario,Es un alivio.  Ya estábamos en el límite de la credibilidad en la justicia.  Quedan jueces y fiscales honestos y valientes.  Creí que se habían extinguido.
153,@MrsMicro84,Madrugó el señor Z! Me da cierto reconfort y sensación de justicia que el delincuente de Penades vaya preso
154,@gustavomolinamendez2212,Mira que lo hacen trabajar al Sr. Zeta. No le dan descanso.
155,@elrincondelderecho,"El Presidente de la República y el ministro del Interior no están a la altura de la circunstancia, representan al Estado, no a sus amigos."
156,@carlosalvarez7754,"Gracias zintv por refrescar la memoria reciente , que los medios nos tratan de borrar permanentemente."
157,@irmavazquez6035,la verdad que había perdido la fe en la justicia  pero esta fiscal tuvo ovarios para seguir contra todos
158,@user-ml6mo1df8k,Lo únicos que alguna vez tuvieron dudas de la veracidad de las denuncias fueron los “amigos” que peculiar….
159,@richardnoble6904,FELICITACIONES A TODAS LAS PERSONAS QUE ESTAN HACIENDO BIEN SU TRABAJO A PESAR DE LAS PRESIONES DEL GOBIERNO!!!
160,@mojo8656,"Pobre Luisito, otro amigo que resulta ser tremendo bandido"
161,@gabrielalcantaro91,"Lo que tendría que seguir es que el presidente le pida la renuncia a Heber, sería lo más lógico en un gobierno serio. Bueno, en un gobierno serio"
162,@silvitaladas5951,"Hasta Lacalle Pou debería ir preso  por defender antes de la causa,ni q hablar Heber no?!..  pero claro....en Florida así la pasan bomba!!! Junto con Atesiano...de fiesta en fiesta....felicito a la fiscal Ghione!! Si fossati hubiera tenido un cachito de ética y profesionalidad como está fiscal otro gallo hubiera cantado."
163,@gabrielvigo8955,Era hora que por lo menos uno este preso tendrían que acompañarlo unos cuantos mas
164,@Beltrame72,Sin palabras Eso que dice Lacalle de “a quien le tengo que creer?” Es lamentable  Es triste que se lo dejen pasar gratuitamente en otros medios  Quien le pidió que tiene que creerle a alguien? Es tan ignorante o tan cínico?
165,@p.s.a.,"Prisión ,como cualquier hijo de vecino,así tendría que ser ! JUSTICIA"
166,@judiacosta7948,Pobre Luis se ha quedado sin esposa sin ministros sin jefe de seguridad y ahora amigo de treinta años . Barajar y dar de nuevo .
167,@juancarlosducanbarbosa4705,"En toda actividad lo que diferencia a unos de otros es la ética,  la profesionalidad y la voluntad de hacer bien su trabajo sea cual sea, esta fiscal y su equipo es un ejemplo, muuyy distinto del ridículo que hizo la Fossati en el caso Astesiano"
168,@raysoto2188,Che y los que salieron públicamente a desmentir todo esto. Tienen que ser juzgados!!!
169,@Maria-ft9uz,"Escuchando de policías , jefes involucrados, pregunto , qué pasó con el adolescente de 17 años muerto a balazos que era otro de los acusadores o testigos, quién lo mató?"
170,@SandraSanchez-gw9sd,Me quedo tranquila no todos los fiscales son corruptos y actúan con la impunidad que lo hizo Fossati
171,@MrOrsiw,"La LUC que el votó dice que los delitos sexuales se pagan con cárcel. Pero como hemos visto en todo el proceso es protegido por ministros y el propio Presidente, así que capaz que por la presión o el sobre peso no va a prisión,  terrible el delincuente!!!"
172,@walternunez9293,"En razón de la fuga de traficantes alegando temas de salud.el ministro dijo y recalco que el sistema carcelario tiene medios para que se puedan atender. Supongo que la juega tendrá esto en consideración para no darle tobilleras a penades, además está mente en la calle es capas de ultimar a las víctimas el solo echo de estar libre originaria más problemas xicoemosionales a las bictimas.( cárcel efectiva es lo que corresponde)"
173,@verlalos,Es increíble la muy baja autocrítica y de aprendizaje que tienen las autoridades actuales de este país. No llama la atención ahora la no resolución del caso de la violación en la fiesta y otras cosas
174,@ozurumi,Cuando van a entender que los 180 dias es de prisión preventiva mientras se procesa el caso. Buen video Z
175,@p.s.a.,"Está, metido desde Heber y el director del comcar ,esto ya rebasa los límites!!"
176,@silvianobel5013,"Me preocupa más, que los amigos no lo dejen solos. Porque "" los amigos son los amigos"""
177,@albertotechera8983,Este gobierno tiene el delito qué se puedan imaginar....muy completos y cómo siempre derramando intelecto... gracias a los que los votaron...son responsables también...
178,@nairbarrios5967,Vergüenza por parte de los políticos. !!!
179,@esperanzaandrade5104,"Si son amigos de la.vida ,como dicen, deben saber bien en que andaba ' el amigo"" hay cosas que no se pueden icultar durante tanto tiempo"
180,@federicobarboza3632,Juicio político al presidente ya!
181,@J.L.Torrente,Mi reconocimiento a Richard Galeano y equipo De HLQP por darle voz y  públicamente que denuncie la  víctima que destapó  la olla
182,@gonzalomauttones5093,"Lamentable que un Político use el Poder para cometer estos delitos aberrantes, y también Lamentable que el Presidente del país y parte del gobierno salgan apoyar a Penades. Y esta gente está cargo de un país y nos gobierna y decide sobre nosotros"
